NAME,ADDRESS1,CITY,STATE,ZIPCODE,COUNTRY,LAT,LON,PHONE
Kenyon Country Club,Hwy 56 N,Kenyon,MN,55946,USA,44.2435,-92.9583,(507) 789-6307
Kimball Golf Club,11823 County Road 150,Kimball,MN,55353,USA,45.3547,-94.3058,(320) 398-2285
Pine Creek Golf Course,3815 N Pine Creek Rd,La Crescent,MN,55947,USA,43.8371,-91.3761,(507) 895-2410
Lake City Country Club,33587 Lakeview Dr,Lake City,MN,55041,USA,44.3869,-92.3128,(651) 345-3221
Lake Pepin Golf Course,Rural Route 4,Lake City,MN,55041,USA,44.3869,-92.3128,(651) 345-5768
Cimarron Golf Course,901 Lake Elmo Ave N,Lake Elmo,MN,55042,USA,44.9925,-92.9041,(651) 436-6188
Country Air Golf Park,404 Lake Elmo Ave N,Lake Elmo,MN,55042,USA,44.9925,-92.9041,(651) 436-7888
Mulligan Masters (Mulligan's 9 Course at Mulligan Masters),400 Keats Ave N,Lake Elmo,MN,55042,USA,44.9925,-92.9041,(651) 777-4653
Tartan Park Golf Course (Blue/White Course at Tartan Park Golf Course),11455 20th St N,Lake Elmo,MN,55042,USA,44.9925,-92.9041,(651) 733-3480
Green Valley Golf Course,Rural Route 2,Lake Park,MN,56554,USA,46.8266,-96.0801,(218) 532-7447
Brackett's Crossing Country Club,17976 Judicial Rd,Lakeville,MN,55044,USA,44.6349,-93.283,(612) 435-7700
Crystal Lakes Golf Club,16725 Innsbrook Dr,Lakeville,MN,55044,USA,44.6349,-93.283,(612) 432-4440
Heritage Links Golf Club,8075 Lucerne Blvd,Lakeville,MN,55044,USA,44.6349,-93.283,(612) 440-4653
Lancaster Riverside Golf Course,US Hwy 59 N,Lancaster,MN,56735,USA,48.9114,-96.8428,(218) 762-4653
Lanesboro Golf Club,Parkway Ave S,Lanesboro,MN,55949,USA,43.7165,-91.9871,(507) 467-3742
Le Sueur Country Club,Rural Route 1,Le Sueur,MN,56058,USA,44.4566,-93.8295,(507) 665-6292
ShadowBrooke Golf Course,3192 State Highway 7,Lester Prairie,MN,55354,USA,44.8552,-94.071,(320) 395-4250
Lewiston Country Club (Par 3 Course at Lewiston Country Club),Hwy 14,Lewiston,MN,55952,USA,43.9369,-91.8607,(507) 523-2060
Chisago Lakes Golf Course,12975 192nd St,Lindstrom,MN,55045,USA,45.3931,-92.8286,(651) 257-1484
Litchfield Golf Club,W Pleasure Dr,Litchfield,MN,55355,USA,45.1333,-94.5356,(320) 693-6059
Little Falls Country Club,1 Edgewater Dr,Little Falls,MN,56345,USA,46.0363,-94.2788,(320) 632-3584
Long Prairie Country Club,405 6th St SE,Long Prairie,MN,56347,USA,45.9633,-94.9343,(320) 732-3312
Chippewa National Golf Course,Rural Route 1,Longville,MN,56655,USA,47.0632,-94.1534,(218) 363-2552
Ridgewood Golf Course (Executive Course at Ridgewood Golf Course),Hwy 7,Longville,MN,56655,USA,47.0632,-94.1534,(218) 363-2444
Superior National Golf Course (Canyon/River Course at Superior National Golf Course),Minnesota 61,Lutsen,MN,55612,USA,47.8532,-90.5998,(218) 663-7195
Luverne Country Club,Rural Route 3,Luverne,MN,56156,USA,43.692,-96.2879,(507) 283-4383
Meadowbrook Country Club,Rural Route 2,Mabel,MN,55954,USA,43.5873,-91.7904,(507) 493-5708
Madelia Golf Course,116 W Main St,Madelia,MN,56062,USA,44.0454,-94.3827,(507) 642-3608
Madison Country Club,Minnesota 40,Madison,MN,56256,USA,44.9929,-96.1617,(320) 598-7587
Mahnomen Country Club,2nd St,Mahnomen,MN,56557,USA,47.3584,-95.8016,(218) 935-5188
Twenty Nine Pines Golf Course,2871 Sundberg Rd,Barnum,MN,55707,USA,46.5379,-92.621,(218) 389-3136
Mankato Golf Club,Golf Club Rd,Mankato,MN,56002,USA,44.1637,-93.9993,(507) 387-5636
Terrace View Golf Course (Par 3 Executive Course at Terrace View Golf Course),Minnesota 22,Mankato,MN,56001,USA,44.1156,-93.9984,(507) 625-7665
Rush Creek Golf Club,7801 State Highway 101,Maple Grove,MN,55311,USA,45.0992,-93.4917,(612) 494-8844
Sundance Golf Club,15240 113th Ave N,Maple Grove,MN,55369,USA,45.1292,-93.452,(612) 420-4700
Country View Golf Course (Back Nine Course at Country View Golf Course),2926 Hwy 61,Maplewood,MN,55109,USA,45.0145,-93.0259,(651) 484-9809
Goodrich Golf Course,1820 N Van Dyke St,Maplewood,MN,55109,USA,45.0145,-93.0259,(651) 777-7355
"Ponds at Battle Creek Golf Course, The",601 Century Ave N,Maplewood,MN,55119,USA,44.9423,-93.0046,(651) 501-6321
Marshall Golf Club,800 Country Club Dr,Marshall,MN,56258,USA,44.4627,-95.7286,(507) 537-1622
Savanna Golf & Supper Club,Hist County Road 4,McGregor,MN,55760,USA,46.7232,-93.3159,(218) 426-3117
Baker National Golf Course (The Eighteen Hole Course at Baker National Golf Course),2935 Parkview Dr,Medina,MN,55340,USA,45.0776,-93.5754,(612) 473-0800
Rolling Green Country Club (Eighteen Hole Course at Rolling Green Country Club),400 Evergreen Rd,Medina,MN,55340,USA,45.0776,-93.5754,(612) 478-6020
Meadowlark Country Club,837 Country Club Dr,Melrose,MN,56352,USA,45.6445,-94.8061,(320) 256-4989
Blueberry Pines Golf Club,Hwy 71 N,Menahga,MN,56464,USA,46.7591,-94.9748,(218) 564-4653
Mendakota Country Club,2075 Mendakota Dr,Mendota Heights,MN,55120,USA,44.8725,-93.1463,(651) 454-4200
Mendota Heights Par 3 Golf Course,1695 Dodd Rd,Mendota Heights,MN,55118,USA,44.8976,-93.103,(651) 454-9822
Somerset Country Club,1416 Dodd Rd,Mendota Heights,MN,55118,USA,44.8976,-93.103,(651) 457-1224
Milaca Golf Club,Central Ave N,Milaca,MN,56353,USA,45.8212,-93.6401,(320) 983-2110
Columbia Golf Course,3300 Central Ave NE,Minneapolis,MN,55418,USA,45.0213,-93.2426,(612) 789-2627
Francis A. Gross Golf Course,2201 St Anthony Pkwy,Minneapolis,MN,55418,USA,45.0213,-93.2426,(612) 789-2542
Hiawatha Golf Course,4553 Longfellow Ave S,Minneapolis,MN,55407,USA,44.9355,-93.2527,(612) 724-7715
"Minikahda Club, The",3205 Excelsior Blvd,Minneapolis,MN,55416,USA,44.9496,-93.3423,(612) 924-1666
Minneapolis Golf Club,2001 Flag Ave S,Minneapolis,MN,55426,USA,44.9563,-93.3817,(612) 544-0021
TPC of The Twin Cities,"Minneapolis, MN",Minneapolis,MN,,USA,,,(612) 785-0696
Countryside Golf Club,E Lyon St,Minneota,MN,56264,USA,44.5481,-95.9664,(507) 872-6335
Glen Lake Golf Course,14350 County Road 62,Minnetonka,MN,55345,USA,44.9156,-93.484,(612) 934-8644
Lafayette Club,2800 Northview Rd,Minnetonka Beach,MN,55391,USA,44.9781,-93.5263,(612) 471-9600
Burl Oaks Golf Club,5400 N Arm Dr,Minnetrista,MN,55364,USA,44.9465,-93.6803,(952) 472-4909
"Crossings, The",W Hwy 212,Montevideo,MN,56265,USA,45.0386,-95.5569,(320) 269-6828
Montgomery Golf Club,900 Rogers Dr,Montgomery,MN,56069,USA,44.4123,-93.5529,(507) 364-5602
Monticello Country Club,1201 Golf Course Rd,Monticello,MN,55362,USA,45.2795,-93.7941,(612) 295-4653
Silver Springs Golf Course (Gold Course at Silver Springs Golf Course),1855 County Road 39 NE,Monticello,MN,55362,USA,45.2795,-93.7941,(612) 295-2951
"Meadows Public Golf Course, The",401 34th St S,Moorhead,MN,56560,USA,46.9239,-96.7135,(218) 299-5244
Moorhead Country Club,N River Dr,Moorhead,MN,56560,USA,46.9239,-96.7135,(218) 236-0200
Town & Country Golf Course,Rural Route 2,Moorhead,MN,56560,USA,46.9239,-96.7135,(218) 233-9063
Village Green Public Golf Course,3420 Village Green Blvd,Moorhead,MN,56560,USA,46.9239,-96.7135,(218) 299-5366
Moose Lake Golf Club,State Highway 61,Moose Lake,MN,55767,USA,46.4505,-92.678,(218) 485-4886
Spring Brook Golf Course,Route 1 County Rd 69,Mora,MN,55051,USA,45.9652,-93.2874,(320) 679-2317
Pomme de Terre Golf Club,Minnesota 9,Morris,MN,56267,USA,45.6004,-95.9681,(320) 589-1009
Dacotah Ridge Golf Club,31042 County Highway 2,Morton,MN,56270,USA,44.5872,-95.0328,(800) 946-2274
Pine Ridge Golf Club,100 Hillcrest Rd,Motley,MN,56466,USA,46.3004,-94.5347,(218) 575-3300
Red Oak Golf Club,855 Red Oak Ln,Mound,MN,55364,USA,44.9465,-93.6803,(612) 472-3999
"Bridges of Mounds View, The",8290 Coral Sea St NE,Mounds View,MN,55449,USA,45.1739,-93.1966,(612) 785-9063
Mountain Lake Golf Course,Lakeshore Dr,Mountain Lake,MN,56159,USA,43.9344,-94.9194,(507) 427-3869
